RefID,RecordLastUpdated,Operator,SiteName,TechnologyType,InstalledCapacity,TurbineCapacity,No.ofTurbines,HeightofTurbines,DevelopmentStatus,Address,County,Region,Country,PostCode,X-coordinate,Y-coordinate,Operational,Name,Model,Owner
3726,31/03/2014,Resonance ,Oakdale Business Park,Wind Onshore,4,2,2,,Operational,"Blackwood, Gwent",Gwent,Wales,Wales,,319119,199334,24/12/2013,,,
3732,06/06/2014,,Boddington Reservoir,Wind Onshore,1.5,1.5,1,,Operational,"Upper Boddington, Northamptonshire. NN1",Northamptonshire,East Midlands,England,,449381,253123,24/04/2014,,,
3733,06/03/2013,Resonance ,HMP Standford Hill,Wind Onshore,4.6,2.3,2,,Operational,"Standford Hill, Church Road, Eastchurch, Sheerness ",Kent,South East,England,ME12 4AA,598426,170070,08/02/2013,,,
3734,23/05/2018,Partnerships for Renewables/AGR,Sharpness Docks,Wind Onshore,2,2,1,,Operational,"Dock Lane, Sharpness, Berkley, Gloucestershire",Gloucestershire,South West,England,,366743,202889,15/01/2017,,,
3735,18/12/2013,REG Windpower (previously Cornwall Light and Power),Sancton Hill,Wind Onshore,10,2,5,,Operational,"nr Market Weighton, Sancton, York, ",Humberside,Yorkshire and Humber,England,,491554,439660,12/06/2012,,,
3738,24/10/2016,Peel Energy,Port of Sheerness Wind Farm (was Lappel Bank),Wind Onshore,8.2,2.05,4,125,Operational,"Sheerness Docks, Sheerness, Kent ",Kent,South East,England,ME12 1RS,591061,175143,20/09/2016,,,
3739,01/08/2017,REG Power Management (John Laing/Peel Energy),Stonish Hill (Bilsthorpe),Wind Onshore,10.3,2,5,,Operational,Former Bilsthorpe Colliery Eakring Road Bilsthorpe,Nottinghamshire,East Midlands,England,,466000,362000,31/03/2013,,,
3741,08/07/2013,E.ON UK,Stags Holt Extension,Wind Onshore,2,2,1,,Operational,"Franks Farm, Stags Holt, Coldham Bank Road, March, Cambridgeshire, PE15 0BS",Cambridgeshire,Eastern,England,,544000,299000,31/12/2010,,,
3745,20/09/2018,Garth Wind (North Yell Development Council),North Yell Wind Farm (Garth Community Wind Farm),Wind Onshore,4.5,0.9,5,,Operational,"Garth, near Gurcher, Yell, Shetland Islands. ZE2 9DF",Shetland,Scotland,Scotland,,454471,1198506,03/04/2017,,,
3746,10/05/2013,Corrimony Energy Ltd & Soirbheas,Glenurquhart and Strathglass Wind Farm project,Wind Onshore,10,2,5,,Operational,"Hill Ground At Corrimony Farm, Glenurquhart, Inverness",Highland,Scotland,Scotland,,234250,824290,19/04/2013,,,
3747,31/10/2014,Private Developer,Damhead Farm,Wind Onshore,2.5,2.5,1,,Operational,"Land At Damhead Farm Bowhouse Road Airdrie North Lanarkshire, ML6 8PW",Strathclyde,Scotland,Scotland,,279061,663992,17/05/2013,,,
3748,03/05/2013,Energiekontor UK,Hyndburn Wind Farm,Wind Onshore,24,2,12,,Operational,Hyndburn Wind Farm on Oswaldtwistle Moor,Lancashire,North West,England,,374424,424281,19/10/2012,Hyndburn,REpower MM82,-
3749,06/03/2014,Ventient (formerly Infinis),Tedder Hill Wind cluster,Wind Onshore,7.5,2.5,3,,Operational,"near Roos, East Riding of Yorkshire",Humberside,Yorkshire and Humber,England,,530221,430242,30/08/2013,,,
3752,24/04/2012,Scottish Power Renewables,Lynemouth Windfarm (Resubmission),Wind Onshore,26,2,13,,Operational,"Land adjacent to Rio Tinto Alcan Smelter, Lynemouth (2km north of Ashington)",Northumberland,North East,England,,429400,589799,12/04/2012,,,
3754,04/06/2013,Ventient (formerly Infinis),Wingates Wind Farm,Wind Onshore,15,2.5,6,,Operational,"Wingates, Longhorsley, Morpeth, Northampronshire. NE65 8",Northumberland,North East,England,,413034,597920,31/03/2013,,,
3757,04/06/2013,Private Developer,Wathegar wind farm,Wind Onshore,10,2,5,,Operational,"Land At Wathegar Bilbster, Wick, Caithness",Highland,Scotland,Scotland,,328540,950761,31/03/2013,,,
3758,26/02/2013,Ormsary and Stronachullin Estates (Allt Dearg Wind Farmers LLP),Allt Dearg Wind Farmers LLP,Wind Onshore,10.8,0.9,12,,Operational,"Cruach a'Phubuill, 9km south of Ardishaig, South Knapdale, Argyll",Strathclyde,Scotland,Scotland,,182893,676616,25/09/2012,,,
3761,16/08/2013,RWE NPower Renewables,Hameldon Hill extension,Wind Onshore,7.5,2.5,3,,Operational,"Hameldon Hill, Accrington Road, Burnley, Lancashire",Lancashire,North West,England,BB11 5QQ,379914,430561,25/04/2013,Hagshaw Hill Extension,Siemens SWT-1.3,ScottishPower
3764,20/05/2016,Ecotricity,Dalby,Wind Onshore,7.2,0.8,9,77,Operational,"Paddys Lane, Old Dalby, Melton Mowbray, Leicestershire",Leicestershire,East Midlands,England,LE14 3LY,465199,323653,15/03/2016,,,
3765,18/12/2014,EDF/China General Nuclear Power Corporation,Glass moor Extension,Wind Onshore,12,2,6,,Operational,"S/E Of Yewtree Farm, Glassmoor Bank, Whittlesey, Cambridge, Cambridgeshire",Cambridgeshire,Eastern,England,CB23,528421,292867,31/03/2013,,,
3772,03/04/2018,Octopus Investments/Blue Energy,Cour Wind Farm,Wind Onshore,20.5,2.1,10,,Operational,"Carradale
Argyll And Bute",Strathclyde,Scotland,Scotland,,181005,648528,01/12/2016,,,
3776,19/11/2018,J & A Wilson Ltd,Upper Wheedlemont Farm,Wind Onshore,1.7,0.85,2,,Operational,"Rhynie
Huntly
",Grampian,Scotland,Scotland,AB54 4LL,347391,826203,11/11/2017,,,
3784,22/05/2013,Green Cat Renewables,Shielburn Farm,Wind Onshore,6.9,2.3,3,,Operational,"Newton Of Fortrie, Fortrie
Turriff
AB53 4HL",Grampian,Scotland,Scotland,,367618,845637,30/03/2013,,,
3787,31/07/2017,Octopus Investments/Blue Energy,Beinneun,Wind Onshore,85,3.4,25,,Operational,8km west of Invergarry,Highland,Scotland,Scotland,,220442,804419,16/02/2017,,,
3791,29/11/2012,"Infinis, previously Broadview Energy",Seamer Wind Farm - Hambleton,Wind Onshore,4,2,2,,Operational,"Land Adjacent Hilton Road, Seamer, Middlesbrough",Cleveland,North East,England,,447872,511421,01/11/2012,,,
3792,16/02/2016,Blue Energy,Fanny House Farm/Heysham Moss,Wind Onshore,1.5,1.5,1,110,Operational,"Oxcliffe Road, Heaton With Oxcliffe, Morecambe, Lancashire",Lancashire,North West,England,LA3 3EF,342996,460568,01/02/2015,,,
3793,10/04/2014,Severn Trent Water,Newthorpe Wind Turbine,Wind Onshore,2.5,2.5,1,,Operational,"Sewage Treatment Works, Halls Lane, Giltbrook, Nottinghamshire",Nottinghamshire,East Midlands,England,NG16 2DE,447216,344836,08/04/2014,,,
3795,06/05/2014,Chelveston Renewable Energy Ltd,Chelveston Renewable Energy Park Wind Farm (Bedford),Wind Onshore,10,2.5,4,,Operational,"Chelveston Airfield, East Northamptonshore",Northamptonshire,East Midlands,England,,499823,268732,15/02/2014,,,
3799,18/03/2014,Future Spectrum Ltd,Torrance Farm,Wind Onshore,9,3,3,,Operational,"Blairmuckhill Road, Harthill, North Lanarkshire",Strathclyde,Scotland,Scotland,EH48 3AW,290842,665671,30/12/2013,,,
3802,09/12/2013,Greenside Wind Energy Ltd,Land at Overside and Greenwellheads Farms,Wind Onshore,9.2,2.3,4,,Operational,"Crimond, Fraserburgh, AB42 3HJ",Grampian,Scotland,Scotland,,406123,854692,01/11/2013,,,
3803,19/04/2013,Lancaster University,Lancaster University (wind),Wind Onshore,2,2,1,,Operational,"Bailrigg Lane, Lancaster, Lancashire",Lancashire,North West,England,,349007,457081,18/02/2013,,,
3804,19/09/2013,Seren Energy,Myreton Crossroads,Wind Onshore,1.6,0.8,2,,Operational,Keith Moray AB55 6NJ,Grampian,Scotland,Scotland,,349741,856864,05/07/2013,,,
3806,07/01/2015,Green Cat Renewables,Auchinderran Wind Farm,Wind Onshore,2.4,0.8,3,80,Operational,"Auchinderran Farm, Aberchirder, Aberdeenshire",Grampian,Scotland,Scotland,,361419,854774,01/12/2014,,,
3807,03/07/2018,Broadview Energy,The Limes Wind Turbines,Wind Onshore,1.7,0.85,2,,Operational,"to the west of Staithes Road at Salt End, Hull.",Humberside,Yorkshire and Humber,England,,516489,429822,15/01/2015,,,
3809,28/04/2016,LocoGen,Milton of Fisherie Wind Cluster,Wind Onshore,4.6,2.3,2,,Operational,"King Edward, Banff AB45 3PX",Grampian,Scotland,Scotland,,375067,859014,01/02/2016,Strath of Brydock,Enercon E70,-
3810,25/02/2014,Blantyre Muir Wind Energy Ltd ,Blantyre Muir Wind Farm,Wind Onshore,9,3,3,,Operational,Near Laigh Muirhouses Farm Muttonhole Road Hamilton ,Strathclyde,Scotland,Scotland,,268888,651781,30/12/2013,,,
3814,22/04/2015,Cetis,Lilbourne Wind Farm,Wind Onshore,10,2,5,,Operational,"Lilbourne Fields Farm & Lilbourne Lodge Farm, Yelvertoft Road, Lilbourne, Northamptonshire",Northamptonshire,East Midlands,England,CV23 0SZ,456786,277685,15/12/2014,,,
3818,20/03/2014,Eneco,Tullo Wind Farm North Extension (Shiels Wind Farm),Wind Onshore,7.5,2.5,3,,Operational,Laurencekirk,Grampian,Scotland,Scotland,AB30 1NB,375080,772580,01/04/2014,Tullo,Nordex N80,Eneco
3819,16/08/2016,Melrose Farms,Easter Melrose Wind Energy Project,Wind Onshore,1.5,0.5,3,,Operational,"Gamrie, Banff",Grampian,Scotland,Scotland,,375187,863494,01/12/2015,,,
3827,30/04/2014,TCI Renewables,Newton Marsh Wind Project,Wind Onshore,4.6,2.3,2,,Operational,"Newton Marsh Sewage Treatment Works, Tetney, North-East Lincolnshire",Lincolnshire,East Midlands,England,,533327,403278,30/04/2014,,,
3828,02/03/2015,Bernard Matthews Green Energy,North Pickenham Airfield,Wind Onshore,4,2,2,,Operational,"North Pickenham Road, Breckland",Norfolk,Eastern,England,,585114,306597,01/04/2014,,,
3832,16/06/2015,Airvolution Energy,Wythegill Wind Turbine,Wind Onshore,2.3,2.3,1,,Operational,"Land at Wythegill Syke, Seaton, Workington, Cumbria",Cumbria,North West,England,CA15 8RX,301881,532072,15/06/2015,,,
3835,04/06/2013,Renewable Energy Systems (RES),Roos Wind Farm (Resubmission),Wind Onshore,17.1,1.9,9,,Operational,Land To The West Of Ivy House Rectory Road Roos East Riding Of Yorkshire,Humberside,Yorkshire and Humber,England,,527376,430105,02/04/2013,,,
3836,22/05/2015,Private Developer,Backhill of Yonderton Wind Cluster,Wind Onshore,4.6,2.3,2,,Operational,"Backhill Of Yonderton
Craigston
 Turriff
 AB53 5PT",Grampian,Scotland,Scotland,,375188,855296,15/10/2014,Strath of Brydock,Enercon E70,-
3837,25/02/2013,Scottish and Southern Energy (SSE),Spurness Wind Farm Repowering,Wind Onshore,10,2,5,,Operational,"Spurness, Sanday",Orkney Islands,Scotland,Scotland,,360531,1033828,01/12/2012,Spurness Wind Farm,NEG Micon NM80,SSE plc
3840,05/03/2015,Green Cat Renewables,St Johns Wells Wind Cluster Extension,Wind Onshore,3.2,0.8,4,,Operational,"St Johns Wells, Fyvie, Turriff AB53 8PX",Grampian,Scotland,Scotland,,379960,836480,01/03/2015,St John's Wells,Enercon E48,-
3841,03/10/2013,Glaxosmithkline,GlaxoSmithKline Wind Project,Wind Onshore,7.5,2.5,3,,Operational,Shewalton Road Riverside Business Park Irvine Ayrshire KA11 5AP,Strathclyde,Scotland,Scotland,,234144,636959,30/06/2013,,,
3842,26/02/2014,KL Technology Limited,K L Technologies Wind Turbine,Wind Onshore,1.5,1.5,1,,Operational,K L Technology Ltd Estuary Road King's Lynn Norfolk PE30 2HS,Norfolk,Eastern,England,,561043,321955,30/10/2013,,,
