,RefID,RecordLastUpdated,Operator,SiteName,TechnologyType,InstalledCapacity,TurbineCapacity,No.ofTurbines,HeightofTurbines,DevelopmentStatus,Address,County,Region,Country,PostCode,X-coordinate,Y-coordinate,Operational,gov_coords
3523,4330,24/06/2019,Whirlwind Renewables,Achlachan Wind Farm,Wind Onshore,10.0,2.0,5.0,115.0,Operational,Achlachan Windfarm Watten,Highland,Scotland,Scotland,,315200,952100.0,08/04/2019,"(58.44892061058484, -3.4545928788583224)"
3524,4331,04/04/2017,Infinis (formerly Novera Energy),A'Chruach (Phase 1),Wind Onshore,48.3,2.3,21.0,,Operational,"Land At A'Cruach
Kilmichael Forest
West Of Minard
Argyll",Strathclyde,Scotland,Scotland,,194500,700500.0,29/06/2016,"(56.15276760132365, -5.310216220516906)"
3525,4332,04/10/2021,Community Windpower,"Aikengall II, Wester Dod Community Wind Farm",Wind Onshore,60.8,3.2,19.0,145.0,Operational,East Lothian.,Lothian,Scotland,Scotland,,369468,669455.0,15/11/2017,"(55.91720873381596, -2.4900662877040944)"
3528,4335,13/12/2017,Ecotricity,Alveston Wind Park,Wind Onshore,6.9,2.3,3.0,100.0,Operational,"Land off Old Gloucester Road, Nr Alveston, South Gloucestershire",Avon,South West,England,BS35 3TD,365450,186055.0,07/12/2017,"(51.57229695558629, -2.499917869932461)"
3530,4337,25/10/2017,Falck Renewables,Auchrobert Wind Farm,Wind Onshore,36.0,2.5,12.0,,Operational,South Lanarkshire ML11 0HP,Strathclyde,Scotland,Scotland,,275154,638500.0,20/03/2017,"(55.624002788892255, -3.9842108334803967)"
3538,4345,01/12/2015,Ecogen,Boardinghouse Wind Farm,Wind Onshore,10.3,2.05,5.0,,Operational,Knights End Road March Cambridgeshire,Cambridgeshire,Eastern,England,,539862,295018.0,01/10/2015,"(52.535073100527896, 0.060601815198549895)"
3539,4346,05/09/2014,Eco2,Bogenlea Farm,Wind Onshore,2.3,2.3,1.0,,Operational,"New Byth, Turriff. AB53 5UY",Grampian,Scotland,Scotland,,382155,852949.0,18/08/2014,"(57.56626396103208, -2.2999493815351397)"
3541,4348,28/02/2017,Brownieleys Renewables/Muirden Energy,BROWNIELEYS - 3 WIND TURBINES,Wind Onshore,7.5,2.35,3.0,,Operational,"Nw/O Brownieleys, Fordoun, Alford, Grampian, AB33 1JN",Grampian,Scotland,Scotland,,376967,772114.0,28/02/2017,"(56.83990929236932, -2.379147431997539)"
3543,4350,03/04/2018,Engie (GDF Suez),Cairnborrow,Wind Onshore,10.0,2.5,5.0,100.0,Operational,Land at Cairnborrow Huntly,Grampian,Scotland,Scotland,,346153,841867.0,09/02/2017,"(57.46386908932942, -2.8992395662801425)"
3547,4354,04/01/2016,Infrared Capital Partners,Crook Hill (Calderdale MBC) 1 of 2,Wind Onshore,13.6,3.4,4.0,,Operational,"Crook Hill/Shore Moor, North Of Watergrove Reservoir, Rochdale",Greater Manchester,North West,England,,392720,419080.0,01/12/2015,"(53.66814583859763, -2.1116591078268985)"
3551,4360,02/10/2018,Force 9 Energy / Catamount Energy/ Green Cat,Deuchries,Wind Onshore,6.9,2.3,3.0,,Operational,"Deuchries Farm, Banff, Aberdeenshire",Grampian,Scotland,Scotland,,363290,855792.0,15/12/2017,"(57.590656505342814, -2.615707426680757)"
3552,4361,18/04/2017,Renewable Energy Generation (REG),Draperstown (Brackagh) Wind Farm,Wind Onshore,6.0,2.0,3.0,,Operational,"Creagh Concrete Products Ltd, Brackagh Quarry, 29 Disert Road, Draperstown, Magherafelt",Co. Derry / Londonderry,Northern Ireland,Northern Ireland,,97617,556429.0,15/03/2017,"(54.81121593834395, -6.7081593492541485)"
3553,4362,04/01/2016,John Laing Environmental Assets Group,Dungavel Hill,Wind Onshore,29.9,2.3,13.0,,Operational,"Dungavel, Strathaven, Strathclyde",Strathclyde,Scotland,Scotland,ML10 6,267954,636995.0,28/08/2015,"(55.60858689388289, -4.097746651693686)"
3554,4363,20/08/2014,The Renewables Infrastructure Group (TRIG),Earlseat,Wind Onshore,18.4,2.3,8.0,,Operational,Earlseat Farm Standing Stane Road Kirkcaldy Fife KY1 4TH,Fife,Scotland,Scotland,,332961,698416.0,30/07/2014,"(56.17365682275863, -3.081323473121169)"
3556,4365,03/09/2014,N R Gammie Partnership,Easter Tulloch Wind Farm (Tullo Extension),Wind Onshore,25.0,2.5,10.0,,Operational,"Land to North of
Tullo Farm
Laurencekirk",Grampian,Scotland,Scotland,,375955,771728.0,30/06/2014,"(56.836390262822945, -2.395697802469385)"
3559,4368,24/03/2017,Ventient (formerly Infinis),Galawhistle,Wind Onshore,66.0,3.0,22.0,,Operational,7km east of Muirkirk in East Ayrshire and 4km west of Douglas in South Lanarkshire,Strathclyde,Scotland,Scotland,,275440,629090.0,15/02/2017,"(55.53957495446018, -3.9754222827482066)"
3560,4369,04/03/2016,Energiekontor UK,Gayton Le Marsh Wind Farm,Wind Onshore,16.4,2.05,8.0,,Operational,"Carlton Grange, Thacker Bank, Great Carlton, Gayton Le Marsh, Louth, Lincolnshire (3.3km to the northeast of Great Carlton and 2.4km south of Saltfleetby)",Lincolnshire,East Midlands,England,LN11 7TXL,544232,387271.0,26/02/2016,"(53.36263755190499, 0.16600012538885225)"
3561,4370,21/05/2015,GlaxoSmithKline,GlaxoSmithKline Wind Project (Turbine 4),Wind Onshore,2.5,2.5,1.0,,Operational,Shewalton Road Riverside Business Park Irvine Ayrshire KA11 5AP,Strathclyde,Scotland,Scotland,,235111,636360.0,01/06/2014,"(55.592866816116505, -4.6181886684990845)"
3564,4373,18/08/2014,RWE npower,Goole Fields,Wind Onshore,32.8,2.05,16.0,,Operational,"Goole Fields Parish , East Riding of Yorkshire",Humberside,Yorkshire and Humber,England,,473487,419400.0,11/08/2014,"(53.665925880120746, -0.889282907791799)"
3565,4374,25/04/2016,Greenvale AP,Greenvale AP Wind Turbine,Wind Onshore,1.5,1.5,1.0,,Operational,"Land North West Of Greenvale Produce Ltd, Floods Ferry Road, Doddington",Cambridgeshire,Eastern,England,,535485,293292.0,01/08/2014,"(52.520671270377846, -0.004589616354396406)"
3571,4381,04/04/2017,Muirden Energy,Hill of Glaschyle Wind Farm,Wind Onshore,27.6,2.3,12.0,99.0,Operational,Hill Of Glaschyle Logie Forres Moray,Grampian,Scotland,Scotland,,303306,847855.0,01/12/2016,"(57.51052023330883, -3.6155871218559428)"
3575,4386,22/02/2018,Scottish Power Renewables,Kilgallioch wind farm,Wind Onshore,239.0,2.5,96.0,,Operational,"(Arecloch Phase 2) land five kilometres to the south of Barrhill, five kilometres to the northeast of New Luce and 11km to the northwest of Kirkcowan",Dumfries and Galloway,Scotland,Scotland,,220844,569576.0,15/12/2017,"(54.98845275791273, -4.801715850373398)"
3579,4390,02/02/2017,Banks Renewables,Lambs Hill,Wind Onshore,8.0,2.0,4.0,,Operational,"Stillington Industrial Estate, Stockton, village of Stillington, to the north west of Stockton and around three miles east of the A1(M",County Durham,North East,England,,443682,516981.0,19/01/2017,"(54.54620776657187, -1.3262605707411417)"
3584,4395,02/02/2017,Infinergy,Lochluichart (Extension),Wind Onshore,18.0,3.0,6.0,,Operational,"Btwn Loch Luichart and Loch Glascarnoch, Lochluichart, Garve, Highlands, IV23.",Highland,Scotland,Scotland,,230678,869136.0,14/05/2014,"(57.68011343522537, -4.841364086551645)"
3588,4399,19/08/2014,Wind Prospect Developments,M1 Wind Farm,Wind Onshore,7.2,0.8,9.0,,Operational,Land between Roade Courteenhall Hartwell and the M1,Northamptonshire,East Midlands,England,,477964,252105.0,30/06/2014,"(52.16172136739278, -0.8616551279535762)"
3591,4403,29/05/2019,Airvolution Energy,New Rides Wind Farm,Wind Onshore,8.8,2.0,4.0,,Operational,"New Rides Farm, Leysdown Road, Sheerness",Kent,South East,England,ME12 4DD,599282,170224.0,01/12/2018,"(51.396040944072936, 0.8632499827968694)"
3592,4404,19/10/2016,Wind Direct,Noble Foods,Wind Onshore,1.5,1.5,1.0,127.0,Operational,"Poultry Buildings, Strathore Farm, Strathore Road, Thornton, Fife",Fife,Scotland,Scotland,,328104,697428.0,01/12/2014,"(56.16407301800833, -3.1592658207566062)"
3596,4408,02/02/2017,Yorkshire Windpower,Ovenden Moor (Repower),Wind Onshore,18.0,2.5,9.0,115.0,Operational,"Withens Road, Wainstalls, Halifax, ",West Yorkshire,Yorkshire and Humber,England,,404000,430500.0,24/01/2017,"(53.77082744568435, -1.9407921396980157)"
3597,4409,21/08/2017,Pennant Walters (PYWX),Pant y wal extension,Wind Onshore,20.0,2.5,8.0,125.0,Operational,"Mynydd Maesteg, Mynydd Pwlle yr Helog, Ogmore Vale, Rhondda Valley",Mid Glamorgan,Wales,Wales,,294649,188695.0,01/05/2017,"(51.58722803760176, -3.522043144165748)"
3598,4410,26/11/2015,EDF Energy Renewables,Park Spring Wind Farm,Wind Onshore,8.6,2.85,3.0,,Operational,"Ferry Moor Lane, Cudworth, Barnsley",South Yorkshire,Yorkshire and Humber,England,,439689,408763.0,20/11/2015,"(53.573973984201636, -1.4021086339786475)"
3599,4411,24/07/2017,Renewable Energy Ventures,Brotherton (formerly Paul Matthew Hill wind turbines),Wind Onshore,4.6,2.3,2.0,,Operational,"Paul Matthew Hill, Johnshaven, Montrose, Grampian, DD10 0HW",Grampian,Scotland,Scotland,,377397,769309.0,01/05/2017,"(56.814732402873645, -2.371849664136358)"
3600,4412,29/05/2018,REG Windpower/ BlackRock,Pen Bryn Oer Wind Farm,Wind Onshore,4.0,1.33,3.0,,Operational,"Pen Bryn Oer, Merthyr Road, Rhymney",Mid Glamorgan,Wales,Wales,,312065,209235.0,15/01/2018,"(51.77485194209945, -3.2759126746971017)"
3602,4414,24/04/2015,REG Windpower,Ramsey Wind Farm Extension,Wind Onshore,8.0,2.0,4.0,,Operational,"St Marys Road, Ramsey",Cambridgeshire,Eastern,England,,527645,287235.0,23/04/2015,"(52.46813946388153, -0.1223894867530626)"
3603,4415,31/08/2017,Capital Dynamics ,Red Gap Moor Wind Farm,Wind Onshore,12.5,2.5,5.0,,Operational,"Sunderland Road,Wolviston, Billingham, Cleveland",Cleveland,North East,England,TS22 5PA,443942,528174.0,15/02/2017,"(54.64676703025659, -1.320570012242704)"
3606,4419,22/06/2015,Todmorden Moor Wind Farm Ltd,Todmorden Moor,Wind Onshore,12.3,3.0,5.0,,Operational,"Todmorden,",West Yorkshire,Yorkshire and Humber,England,,389600,422700.0,10/09/2014,"(53.700629291635586, -2.159003068312627)"
3607,4420,17/09/2020,Infinergy,Tom Nan Clach,Wind Onshore,39.0,3.0,13.0,125.0,Operational,"Approximately 8km North East Of Tomatin, Drynachan
Nairnshire",Highland,Scotland,Scotland,,286401,835189.0,01/03/2019,"(57.39288250754723, -3.8917048816227533)"
3609,4422,27/11/2014,Eneco,Tullo Wind Farm South (Ext.),Wind Onshore,10.0,2.5,4.0,,Operational,"Tullo Farm, Laurencekirk
 AB30 1HS",Grampian,Scotland,Scotland,,375388,770733.0,01/07/2014,"(56.82742212676146, -2.404893688985702)"
3611,4424,17/12/2015,Broadview Energy,Watford Lodge,Wind Onshore,12.5,2.0,5.0,,Operational,runs from Watford to West Hadon Road along norhtern side of railway,Northamptonshire,East Midlands,England,,460960,270200.0,23/11/2015,"(52.32651762428485, -1.106941902968092)"
3612,4425,02/01/2020,BayWa r.e.,Wathegar 2 Wind Farm,Wind Onshore,18.5,2.05,9.0,,Operational,"Wathegar, Bilbster, Wick",Highland,Scotland,Scotland,KW1 5SG,329103,950291.0,15/09/2017,"(58.43515792094466, -3.215898539995248)"
3613,4427,19/08/2014,Falck Renewables,West Browncastle,Wind Onshore,30.0,2.5,12.0,,Operational,"Strathaven, Strathclyde, ML10 6QW",Strathclyde,Scotland,Scotland,,261117,642821.0,30/06/2014,"(55.65899211368623, -4.209136437479134)"
3617,4431,27/02/2018,Fred Olsen Renewables,Brochloch Rig (formerly Windy Standard II),Wind Onshore,90.0,3.0,30.0,120.0,Operational,Near New Cummock,Dumfries and Galloway,Scotland,Scotland,,260200,602000.0,15/06/2017,"(55.29220785566121, -4.203148815861893)"
3618,4432,19/11/2019,Energiekontor UK,Withernwick extension,Wind Onshore,8.2,2.05,4.0,,Operational,"Land North And North East
Homer House
Aldbrough Road
Withernwick
East Riding Of Yorkshire",Humberside,Yorkshire and Humber,England,,520743,441870.0,01/08/2019,"(53.859018777218445, -0.1656290286238437)"
3620,4434,02/04/2019,Mongoose (formerly Energy Law Unlimited),Pogbie Wind Farm 1,Wind Onshore,5.1,8.5,6.0,,Operational,"Humbie, East Lammermuirs, East Lothian.EH36 5PN",Lothian,Scotland,Scotland,,347905,659047.0,29/03/2019,"(55.821847948471, -2.8330224628551726)"
3621,4435,25/09/2014,West Coast Energy,Barlockhart Moor,Wind Onshore,8.1,2.03,4.0,,Operational,"Barlockhart Farm, Glenluce, Newton Stewart, Wigtownshire DG8 0JG",Dumfries and Galloway,Scotland,Scotland,,221183,555886.0,27/08/2013,"(54.86569886273004, -4.787907055758589)"
3622,4437,31/05/2017,Minnygap (formerly RES),Minnygap,Wind Onshore,25.0,2.5,10.0,,Operational,Nr Annandale,Dumfries and Galloway,Scotland,Scotland,,303800,596000.0,15/03/2017,"(55.24876801079651, -3.5148021405721197)"
3625,4440,16/05/2019,Banks Renewables,Middle Muir Wind Farm,Wind Onshore,51.0,3.4,15.0,,Operational,"Middle Muir, Hamilton, Strathclyde (north of Crawfordjohn)",Strathclyde,Scotland,Scotland,ML3,286178,625826.0,16/05/2019,"(55.512885933756024, -3.8040169924869027)"
3626,4441,04/04/2018,Community Windpower,Sanquhar Community Windfarm,Wind Onshore,32.4,3.4,9.0,,Operational,"located approximately 7km Southwest of Sanquhar, 5km to the Southwest of Kirkconnel and 4km Southwest of the small steading of Drumbuie",Dumfries and Galloway,Scotland,Scotland,,270311,607479.0,01/02/2018,"(55.34417698550054, -4.0465703479660275)"
3629,4445,04/06/2020,Scottish Southern Energy,Balmurrie Fell Wind Farm,Wind Onshore,9.1,1.3,7.0,,Operational,"Balmurrie Fell, Newton Stewart, Dunfries & Galloway. DG8",Dumfries and Galloway,Scotland,Scotland,,238626,555982.0,01/09/2012,"(54.87249318780103, -4.516466281321381)"
3633,4449,25/05/2022,The Renewables Infrastructure Group (TRIG),Solwaybank Wind Farm,Wind Onshore,30.0,2.0,15.0,,Operational,"Allfornought Hill, Langholm, Dumfries & Galloway (8 km south-west of Langholm and 12 km north of Gretna)",Dumfries and Galloway,Scotland,Scotland,DG13 0A,329413,578978.0,01/11/2020,"(55.10017431027133, -3.10775050033184)"
3634,4450,11/09/2014,Private Developer,Burnfoot Hill Extension,Wind Onshore,4.0,2.0,2.0,,Operational,Site South Of The Upper And Lower Glendevon Resevoirs Glendevon,Tayside,Scotland,Scotland,,290393,703943.0,09/09/2014,"(56.21539344420843, -3.768914358565436)"
3644,4462,06/08/2020,NTR,Airies Farm,Wind Onshore,35.0,2.9,14.0,137.0,Operational,"Airies Farm, Glenluce ",Dumfries and Galloway,Scotland,Scotland,DG8 8AL,229266,548481.0,15/03/2017,"(54.802050805497586, -4.657736096679616)"
3646,4465,23/05/2017,Temporis Capital,Craig Wind Farm (Extension),Wind Onshore,2.5,2.5,1.0,,Operational,Westerkirk,Dumfries and Galloway,Scotland,Scotland,,202000,557000.0,15/05/2017,"(54.86847106642369, -5.0871272839086155)"
3657,4483,19/05/2017,Wind Energy Direct,Lawrence Landfill,Wind Onshore,1.6,0.8,2.0,,Operational,"Lawrence Landfill, Pope Hill, Johnston, Haverfordwest, Dyfed, SA62 3NX",Dyfed,Wales,Wales,,193075,212682.0,15/03/2017,"(51.77445768982977, -5.00076422007082)"
3658,4484,14/03/2016,Private Developer,Plascow wind cluster,Wind Onshore,2.4,0.8,3.0,,Operational,"Plascow Farm, Dalbeattie,",Dumfries and Galloway,Scotland,Scotland,,287380,563820.0,15/07/2015,"(54.95625774117507, -3.7602133056581097)"
3659,4485,21/06/2017,Pennant Walters (MAESX) Limited,Maesgwyn Wind Farm - extension,Wind Onshore,2.5,2.5,1.0,,Operational,Maesgwyn Wind Farm Between Onllwyn & Glynneath,West Glamorgan,Wales,Wales,,286568,205930.0,29/03/2016,"(51.74055755942916, -3.6442351263179544)"
3666,4493,20/10/2016,Wentworth and Harper,Halifax Farm,Wind Onshore,1.6,1.6,1.0,,Operational,"Halifax Farm, Merrylees Road, Newbold Heath, Newbold Verdon, Leicester, Leicestershire",Leicestershire,East Midlands,England,LE9 9NR,445759,304887.0,01/09/2015,"(52.639805526591, -1.3252179398817345)"
3670,4497,13/06/2016,REsense c/o CO2Sense,Norton Fields Farm,Wind Onshore,1.3,1.3,1.0,,Operational,"Norton Fields Farm, Mucknell Farm Lane, Stoulton, Worcester",Hereford and Worcester,West Midlands,England,WR7 4RB,390334,251792.0,15/09/2015,"(52.164310590922, -2.142730479575483)"
3674,4501,27/06/2016,John Laing Environmental Assets Group/ REG Power Management,Carscreugh Renewable Energy Park,Wind Onshore,15.3,0.85,18.0,,Operational,"Gelnluce, nr Luce Bay Dumfries and Galloway",Dumfries and Galloway,Scotland,Scotland,,225000,555000.0,15/01/2014,"(54.85909599027178, -4.727967962264626)"
3675,4502,22/05/2018,Whiteside Hill Farm (Scotland),Whiteside Hill,Wind Onshore,25.3,2.3,11.0,,Operational,Whiteside Hill near Sanquhar,Dumfries and Galloway,Scotland,Scotland,,271440,608920.0,30/04/2018,"(55.3574139126262, -4.029442075056163)"
3676,4504,25/09/2014,,Slieve Rushen Extension,Wind Onshore,54.0,3.0,18.0,,Operational,"Slieve Rushen
Derrylin
Fermanagh",Co. Fermanagh,Northern Ireland,Northern Ireland,,33019,491811.0,15/04/2008,"(54.19028103229391, -7.62840011815144)"
3680,4508,05/01/2015,Greencoat UK Wind,North Rhins,Wind Onshore,22.0,2.0,11.0,,Operational,"North Rhins
Stranraer
Dumfries and Galloway",Dumfries and Galloway,Scotland,Scotland,,201980,557960.0,20/01/2010,"(54.877077503121626, -5.088097565351753)"
3683,4511,02/10/2014,East Coast Viners,Jacksbank Wind Farm (Glenbervie),Wind Onshore,6.8,2.26,3.0,,Operational,"Drumlithie, Stonehaven",Grampian,Scotland,Scotland,AB39 3YL,376574,783246.0,12/07/2014,"(56.93989027209686, -2.3866207967051194)"
3684,4513,25/08/2016,John Laing Environmental Assets Group,New Albion Wind Farm,Wind Onshore,14.4,2.05,7.0,,Operational,"Agricultural land at Towns Close Farm, between Pipewell and Rushton and close to the A6003 Road to Corby",Northamptonshire,East Midlands,England,NN14 1QT,484680,284310.0,18/01/2016,"(52.45019572823949, -0.7554074991878122)"
3685,4514,26/10/2016,Sunnyside Wind Farm,Sunnyside wind cluster,Wind Onshore,1.0,0.5,2.0,,Operational,"Land at Sunnyside, Sanquhar",Dumfries and Galloway,Scotland,Scotland,DG4 6JP,276612,611178.0,15/11/2015,"(55.37901866980569, -3.948910068984826)"
3687,4516,01/09/2018,Sky Wind Energy,Keith Hill,Wind Onshore,4.5,0.9,5.0,,Operational,"Humbie, ",Lothian,Scotland,Scotland,EH36 5PN,348373,658532.0,19/12/2017,"(55.81727154871253, -2.825455926353661)"
3688,4517,25/09/2014,Airtricity,Minsca,Wind Onshore,36.8,2.3,16.0,,Operational,"8km NE of Lockerbie
Dumfries and Galloway",Dumfries and Galloway,Scotland,Scotland,,313821,581690.0,01/03/2008,"(55.12207056967945, -3.3528565978291582)"
3689,4518,04/06/2020,Scottish and Southern Energy (SSE),Artfield Fell,Wind Onshore,19.5,1.3,15.0,,Operational,"Artfield Fell
Near New Luce
NX230670",Dumfries and Galloway,Scotland,Scotland,,222500,567500.0,23/06/2005,"(54.97041240374808, -4.774580540550114)"
3690,4519,25/09/2014,Scottish Power/CRE Energy,Wether Hill,Wind Onshore,18.2,1.3,14.0,,Operational,"Moniaive
Dumfries",Dumfries and Galloway,Scotland,Scotland,,270000,594000.0,01/05/2007,"(55.223053552556046, -4.045235493306987)"
3691,4520,25/09/2014,Airtricity Scotland,Dalswinton,Wind Onshore,30.0,2.0,15.0,,Operational,"Nr village of Dalswinton
Dumfries",Dumfries and Galloway,Scotland,Scotland,,295000,589000.0,15/03/2008,"(55.18409712774817, -3.650562297931761)"
3695,4524,07/01/2015,Craig Wind Farm Co,Craig Wind Farm,Wind Onshore,10.0,2.5,4.0,,Operational,Westerkirk,Dumfries and Galloway,Scotland,Scotland,,331995,586055.0,01/10/2007,"(55.164118122467734, -3.0689924136718707)"
3696,4525,01/10/2014,Scottish Power Renewables,Beinn an Tuirc Phase 2,Wind Onshore,43.7,2.3,16.0,,Operational,"South of original Beinn and Tuirc
Nr. Carradale",Strathclyde,Scotland,Scotland,,173950,636900.0,01/09/2014,"(55.573170618122, -5.587352693566457)"
3697,4526,25/09/2014,Community Wind Power,Aikengall,Wind Onshore,48.0,3.0,16.0,,Operational,"Aikengall
Nr Innerwick
Dunbar
East Lothian
EH42 1SG",Lothian,Scotland,Scotland,,369468,669455.0,01/11/2008,"(55.91720873381596, -2.4900662877040944)"
3698,4527,04/09/2018,Fred Olsen Renewables,Brochloch Rig 1 (formerly Windy Standard),Wind Onshore,21.6,0.6,36.0,,Operational,"Windy Standard
",Dumfries and Galloway,Scotland,Scotland,,261500,602500.0,01/10/1996,"(55.29706494445241, -4.182939377786245)"
3703,4532,31/10/2017,Temporis Capital,Hawton Wind Farm,Wind Onshore,9.0,2.5,3.0,,Operational,"Cotham Road, Hawton, Nottinghamshire",Nottinghamshire,East Midlands,England,NG24 3SD,479589,350765.0,16/03/2017,"(53.04823402505062, -0.8141970400821196)"
3715,4544,02/05/2017,EDF Energy Renewables,Beck Burn,Wind Onshore,31.0,3.45,9.0,,Operational,"Beck Burn Peat Works, Springfield, Longtown",Cumbria,North West,England,CA6 5NH,334466,568940.0,26/04/2017,"(55.01068104394024, -3.0262663932628113)"
3720,4549,29/10/2018,Seneca Global Energy,Melton Common Wind Cluster,Wind Onshore,4.6,2.3,2.0,,Operational,"Land West, South And South East Of Melton Waste Park Gibson Lane South Melton East Riding Of Yorkshire",Humberside,Yorkshire and Humber,England,HU14 3LJ,496427,425524.0,15/03/2017,"(53.71722937572353, -0.5403031215271035)"
3723,4552,17/02/2022,RWE Innogy UK,Clocaenog Forest Wind Farm,Wind Onshore,96.0,3.0,32.0,145.0,Operational,"Clocaenog forest, Ruthin, ",Clwyd,Wales,Wales,LL15,300324,353682.0,01/10/2019,"(53.07104094105692, -3.489152007622376)"
3728,4557,04/05/2017,Altamuskin Windfarm (Energia),Altamuskin Extension,Wind Onshore,7.1,2.35,3.0,110.0,Operational,"Sixmilecross, Clogher, Co. Tyrone",Co. Tyrone,Northern Ireland,Northern Ireland,,69316,525078.0,15/03/2017,"(54.51275167645243, -7.111342782362394)"
3729,4558,23/02/2018,Energia (formerly Brookfield Renewable Energy Group),Rathsherry,Wind Onshore,21.0,2.3,9.0,,Operational,"lands in the townland of Rathsherry, east of Tullymore Road and south and north of Longmore Road, Broughshane, Ballymena",Co. Antrim,Northern Ireland,Northern Ireland,,132735,569854.0,15/02/2018,"(54.951488647144224, -6.175702167216491)"
3734,4563,26/10/2018,Brookfields (Antrim Wind Energy),Elginny Hill,Wind Onshore,22.0,2.0,11.0,,Operational,"Carncoagh Hill, Elginny Hill, Clontrace Hill, Broughshane, ",Co. Antrim,Northern Ireland,Northern Ireland,,131511,567821.0,15/03/2018,"(54.93261137374845, -6.192861985758464)"
3746,4575,14/07/2017,Private Developer,Hoprigshiels Community Wind Farm,Wind Onshore,6.9,2.3,3.0,,Operational,"Land North And South Of 1 Whinhouse, Hoprigshiels, Cockburnspath, Scottish Borders",Borders,Scotland,Scotland,,375631,669803.0,31/03/2017,"(55.92068838144868, -2.3914969193911033)"
3751,4580,16/05/2016,Scottish Power Renewables,Black Law Extension - 1b,Wind Onshore,15.0,3.0,5.0,,Operational,"Black Law, Climpy",Strathclyde,Scotland,Scotland,,289500,653500.0,18/02/2016,"(55.76218897974121, -3.762566605098417)"
3761,4591,27/09/2021,Community Windpower,Aikengall 3 Community Wind Farm,Wind Onshore,75.5,3.6,18.0,145.0,Operational,Land North Of Nether Monynut Cottage Cockburnspath Scottish Borders,Borders,Scotland,Scotland,,371793,666791.0,01/11/2021,"(55.89341637689038, -2.4525902607503536)"
3763,4593,19/07/2017,Scottish Power Renewables,Glen App,Wind Onshore,22.0,2.0,11.0,,Operational,"NE/o Cairnryan, Stranraer, Dumfries and Galloway",Strathclyde,Scotland,Scotland,,208880,571432.0,15/01/2017,"(55.000660679638294, -4.989675973919237)"
3765,4595,04/06/2018,Vattenfall (previously Nuon Renewables),Pen Y Cymoedd,Wind Onshore,228.0,3.0,76.0,,Operational,Land stretches from the Upper Afan Valley to end of Cynon Valley.,Neath Port Talbot,Wales,Wales,,282793,196557.0,19/05/2017,"(51.65554291633171, -3.695730196024751)"
3767,4597,02/01/2019,Scottish and Southern Energy (SSE),Stronelairg Wind Farm,Wind Onshore,228.0,3.6,66.0,135.0,Operational,located approximately 11 kilometres to the south-east of Fort Augustus,Highland,Scotland,Scotland,,247166,806833.0,11/12/2018,"(57.126924519130995, -4.5263699907224115)"
3768,4598,16/06/2015,Airvolution Energy,M1 J18 Wind Turbines,Wind Onshore,4.0,2.0,2.0,,Operational,"Land Between Watling Street And M1, Celtic Way, Kilsby, Northamptonshire",Northamptonshire,East Midlands,England,,457472,272715.0,15/12/2014,"(52.34950111983735, -1.1576866764484717)"
3769,4599,03/04/2018,Temporis Capital,Tullymurdoch Wind Farm,Wind Onshore,14.4,2.05,7.0,,Operational,"Alyth, Blairgowrie, Tayside",Tayside,Scotland,Scotland,PH10,319575,752228.0,23/01/2018,"(56.65490848904884, -3.3134138177532892)"
3770,4600,31/05/2016,Renewable Energy Systems (RES),Penmanshiel Wind Farm,Wind Onshore,28.7,2.0,14.0,,Operational,Land East Of Penmanshiel Farmhouse Grantshouse Scottish Borders,Borders,Scotland,Scotland,,380006,667129.0,01/07/2016,"(55.896866097840814, -2.321296252346168)"
3771,4601,19/04/2017,Airvolution Energy,Kinegar Quarry,Wind Onshore,5.0,2.5,2.0,,Operational,Land South West Of Neuk Farm Cockburnspath ,Borders,Scotland,Scotland,,377377,671362.0,15/03/2017,"(55.93478104884399, -2.363691558427343)"
3774,4604,24/04/2015,REG & Blackrock,St. Breock Re-Power,Wind Onshore,10.0,2.5,5.0,,Operational,St. Breock,Cornwall,South West,England,,200000,70000.0,23/02/2015,"(50.49557601786335, -4.821264283965933)"
3787,4619,04/10/2017,Green Power,Carraig Gheal,Wind Onshore,46.0,2.3,20.0,,Operational,"Carraig Gheal, Argyll and Bute",Strathclyde,Scotland,Scotland,,196465,721170.0,31/08/2013,"(56.33901041894965, -5.294537321952413)"
3788,4620,24/08/2015,Greencoat UK Wind,Langhope Rig,Wind Onshore,16.0,1.6,10.0,,Operational,"Langhope Rig, Ettrick Forest, Scottish Borders",Borders,Scotland,Scotland,,340680,620050.0,26/03/2015,"(55.47066474710523, -2.9398882945092843)"
3791,4623,29/06/2015,Vattenfall,Clashindarroch 2,Wind Onshore,37.0,2.05,18.0,,Operational,"Clashindarroch Forest, Huntly, ",Grampian,Scotland,Scotland,,348000,831000.0,26/06/2015,"(57.366481936075076, -2.86614768634714)"
3792,4624,01/12/2014,Ecotricity,Galsworthy Wind Park,Wind Onshore,9.2,2.3,4.0,,Operational,"Land At Galsworthy, Buckland Brewer And Bulkworthy",Devon,South West,England,,240435,115705.0,28/11/2014,"(50.91868510024303, -4.271451484566959)"
3793,4625,04/01/2016,Scottish and Southern Energy (SSE),Strathy North,Wind Onshore,67.7,2.05,33.0,,Operational,"Near Strathy Village, Sutherland",Highland,Scotland,Scotland,,281550,957550.0,01/12/2015,"(58.490004008494246, -4.033588056654732)"
