no.,agency,accreditation_number,material_process,size*,accredited_organisation,reg._no.,status,active_date,last_changed,site_address,classification_of_operation
"104","EA","ER242020250","Plastic","S","Daly Plastics Ltd","07279081","Active","01/01/2024","01/01/2024","unit 1 bury greater manchester bl2 6rt","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"105","EA","ER242024109","Plastic","S","Densan Recycling Ltd","14759314","Active","01/01/2024","01/01/2024","Unit 4 Charlton Mead Lane HODDESDON Hertfordhshire EN11 0DJ","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"106","EA","ER242017116","Plastic","S","Derek Lambert Polythene Ltd","1915346","Active","15/01/2024","15/01/2024","derek lambert polythene ltd BINGLEY west yorkshire BD16 2RD","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"107","EA","ER242019176","Plastic","L","Desch Plantpak Ltd","00794214","Active","06/06/2024","06/06/2024","Burnham Road MALDON Essex CM9 6NT","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"108","EA","ER242020235","Plastic","L","DJO Waste Recycling Ltd","12253715","Cancelled","24/01/2024","21/08/2024","UNIT 1A, BILSTON KEY INDUSTRIAL ESTATE BILSTON WEST MIDLAND WV14 7DW","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"109","EA","ER242024144","Plastic","S","Donington Plastics Limited","01551447","Active","03/09/2024","03/09/2024","Unit 1, Spiral Tube Works DERBY Derbyshire DE24 8BT","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"110","EA","ER242023157","Plastic","L","Duclo Recycling Ltd","13803690","Active","01/01/2024","01/01/2024","Cube Shed LEEDS LS10 1DF","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"111","EA","ER242014152","Plastic","L","Echo Packaging Ltd","02717201","Active","01/01/2024","01/01/2024","Sondes Road CORBY Northamptonshire NN17 5XL","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"112","EA","ER242020189","Plastic","L","Edmonton Poly Bags Ltd","08408593","Active","01/01/2024","01/01/2024","3 KENNINGHALL ROAD LONDON N18 2PD","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"113","EA","ER242019173","Plastic","S","Elite Plastics Ltd","2465066","Active","01/01/2024","01/01/2024","elite plastics limited HEREFORD herefordshire HR26JR","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"114","EA","ER242024135","Plastic","S","Enviro Dynamics Ltd","15083865","Cancelled","28/05/2024","08/07/2024","Envior Dynamics TENBURY WELLS Worcestershire WR15 8JF","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"115","EA","ER242020167","Plastic","S","Fablex 2000 Ltd","03746368","Active","01/01/2024","01/01/2024","Unit 1 Birmingham B11 2LF","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"116","EA","ER242023103","Plastic","S","Faerch Durham Ltd","07770672","Active","01/01/2024","01/01/2024","FAERCH DURHAM LTD DURHAM COUNTY DURHAM DH1 2YN","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"117","EA","ER242022110","Plastic","S","FIELD RECYCLING UK LTD","10300364","Active","08/03/2024","08/03/2024","Unit 1A Tat Bank Road Industrial Estate DUDLEY West Midlands B69 4NB","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"118","EA","ER242023159","Plastic","S","FIRST CHOICE GLOBAL TRADE LTD","12937250","Active","01/01/2024","01/01/2024","Crown Works SMETHWICK West Midlands B66 2NZ","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
