year,unu_key,value
2021,0404,4152474.806
2021,0405,10596407
2021,0406,14039114.678
2021,0407,241217.0364767508
2021,0408,5815603.898
2021,0501,-1235415.8345487798
2021,0502,42943986
2021,0503,5579637
2021,0504,8752321
2021,0601,34078057.896
2021,0602,7902366.044
2021,0801,3560520.0048629255
2021,0802,-15234
2021,0901,237406124.811
2021,0902,4484544.244166667
2021,1001,-52368.231
2021,1002,17553.057000000004
2021,0112,170860.4285
2021,0701,21060345.574
2021,0703,15082
2021,0505,138672589.337
2021,0310,-20219
2021,3001,760334
2022,0101,81237.78039229124
2022,0102,1670459.5110619483
2022,0103,7771001.836543363
2022,0104,3473912.834734198
2022,0105,-67901.884
2022,0106,9788723.123074707
2022,0108,2777012.361
2022,0109,654584.837
2022,0111,436923.54199999996
2022,0113,1026406.1014999999
2022,0114,4303494.5
2022,0201,41851718.47232385
2022,0202,28147763.93384128
2022,0203,12117030.952573769
2022,0204,8105218.027516066
2022,0205,15558943.051753268
2022,0301,55360387.93600001
2022,0302,179236.7115060836
2022,0303,16036532.634
2022,0304,1469958.1349999993
2022,0305,4961743.548960244
2022,0306,28105788.95
2022,0307,1362829
2022,0308,1122271.986
2022,0309,5628316.5024999995
2022,0401,4066412.8839999996
2022,0402,2837732.6626758343
2022,0403,3030096.5106065194
2022,0404,1491657.1870000008
2022,0405,10705318
2022,0406,15487823.300999999
2022,0407,719515.5545900086
2022,0408,6522125.397
2022,0501,-634239.6302743899
2022,0502,42943986
2022,0503,2742440
2022,0504,8752321
2022,0601,21433684.159944333
2022,0602,6685903.93
2022,0801,3313445
2022,0802,-15234
2022,0901,258386739.69476917
2022,0902,4337840.893
2022,1001,-103895.92424971613
2022,1002,31132
2022,0112,157345.266
2022,0701,26268574.871999998
2022,0703,8674
2022,0505,138672589.337
2022,0310,116921.68300000002
2022,3001,634410.005
2023,0101,81237.78039229124
2023,0102,1531122.0221238967
2023,0103,9665511.579139393
2023,0104,398396.2973610569
2023,0105,-16530.527000000002
2023,0106,11096940.325257057
2023,0108,3267337.689
2023,0109,654584.837
2023,0111,436923.54199999996
2023,0113,1124960.079
2023,0114,4377970
2023,0201,41851718.47232385
2023,0202,33739039.84019158
2023,0203,10796078.179
2023,0204,10320839.9849943
2023,0205,16113647.518068895
2023,0301,50232859.61
2023,0302,121038.66562269069
2023,0303,11934168.118999999
2023,0304,5719122.090971597
2023,0305,7502201.958985102
2023,0306,19388621.723
2023,0307,1362829
2023,0308,954838
2023,0309,6388494.001
2023,0401,4066412.8839999996
2023,0402,2365759.5064651077
2023,0403,2038611.0675965706
2023,0404,2249930.033
2023,0405,9913520
2023,0406,14327123.808
2023,0407,604191.2533538542
2023,0408,6074814.893
2023,0501,-33063.42599999998
2023,0502,42943986
2023,0503,4590478
2023,0504,8752321
2023,0601,21433684.159944333
2023,0602,4515868.717
2023,0801,2896667
2023,0802,-15234
2023,0901,214369351.0007865
2023,0902,4337840.893
