unu,year,value,variable,unit
0301,2013,19330.09753632321,inflow,mass
0302,2013,53616.46494,inflow,mass
0303,2013,30374.669247058824,inflow,mass
0304,2013,66339.24750120711,inflow,mass
0305,2013,1404.435431899072,inflow,mass
0306,2013,3157.77726,inflow,mass
0307,2013,39528.64,inflow,mass
0308,2013,20603.390886519977,inflow,mass
0309,2013,26425.806,inflow,mass
0401,2013,4236.193368888,inflow,mass
0402,2013,2786.92656,inflow,mass
0403,2013,20670.702405693803,inflow,mass
0404,2013,34374.385310075755,inflow,mass
0405,2013,20326.719380000002,inflow,mass
0406,2013,2146.14326,inflow,mass
0407,2013,7249.268301300096,inflow,mass
0408,2013,64635.74,inflow,mass
0501,2013,-12.442097568861962,inflow,mass
0502,2013,6573.793551999999,inflow,mass
0503,2013,515.31705,inflow,mass
0504,2013,2534.411256,inflow,mass
0601,2013,80755.55872633477,inflow,mass
0602,2013,166409.87244460807,inflow,mass
0801,2013,389.97252,inflow,mass
