sector,year,value,source,target
Packaging ,2028,494666.4897269811,la_collected_household,formal_domestic_treatment
Packaging ,2028,272066.56934983964,la_collected_other,treated_overseas
Packaging ,2028,24733.324486349054,la_collected_other,mismanaged
Packaging ,2028,197866.59589079244,la_collected_other,formal_domestic_treatment
Packaging ,2028,272066.56934983964,wmc_collected,treated_overseas
Packaging ,2028,24733.324486349054,wmc_collected,mismanaged
Packaging ,2028,197866.59589079244,wmc_collected,formal_domestic_treatment
Packaging ,2029,681713.273651454,la_collected_household,treated_overseas
Packaging ,2029,61973.933968314,la_collected_household,mismanaged
Packaging ,2029,495791.471746512,la_collected_household,formal_domestic_treatment
Packaging ,2029,272685.30946058163,la_collected_other,treated_overseas
Packaging ,2029,24789.5735873256,la_collected_other,mismanaged
Packaging ,2029,198316.5886986048,la_collected_other,formal_domestic_treatment
Packaging ,2029,272685.30946058163,wmc_collected,treated_overseas
Packaging ,2029,24789.5735873256,wmc_collected,mismanaged
Packaging ,2029,198316.5886986048,wmc_collected,formal_domestic_treatment
Packaging ,2030,683156.7952933935,la_collected_household,treated_overseas
Packaging ,2030,62105.163208490325,la_collected_household,mismanaged
Packaging ,2030,496841.3056679226,la_collected_household,formal_domestic_treatment
Packaging ,2030,273262.71811735746,la_collected_other,treated_overseas
Packaging ,2030,24842.065283396132,la_collected_other,mismanaged
Packaging ,2030,198736.52226716906,la_collected_other,formal_domestic_treatment
Packaging ,2030,273262.71811735746,wmc_collected,treated_overseas
Packaging ,2030,24842.065283396132,wmc_collected,mismanaged
Packaging ,2030,198736.52226716906,wmc_collected,formal_domestic_treatment
Packaging ,2031,684500.5002557592,la_collected_household,treated_overseas
Packaging ,2031,62227.31820506902,la_collected_household,mismanaged
Packaging ,2031,497818.5456405522,la_collected_household,formal_domestic_treatment
Packaging ,2031,273800.2001023037,la_collected_other,treated_overseas
Packaging ,2031,24890.92728202761,la_collected_other,mismanaged
Packaging ,2031,199127.41825622087,la_collected_other,formal_domestic_treatment
Packaging ,2031,273800.2001023037,wmc_collected,treated_overseas
Packaging ,2031,24890.92728202761,wmc_collected,mismanaged
Packaging ,2031,199127.41825622087,wmc_collected,formal_domestic_treatment
Packaging ,2032,685745.8115606677,la_collected_household,treated_overseas
Packaging ,2032,62340.52832369706,la_collected_household,mismanaged
Packaging ,2032,498724.22658957646,la_collected_household,formal_domestic_treatment
Packaging ,2032,274298.32462426706,la_collected_other,treated_overseas
Packaging ,2032,24936.211329478825,la_collected_other,mismanaged
Packaging ,2032,199489.6906358306,la_collected_other,formal_domestic_treatment
Packaging ,2032,274298.32462426706,wmc_collected,treated_overseas
Packaging ,2032,24936.211329478825,wmc_collected,mismanaged
Packaging ,2032,199489.6906358306,wmc_collected,formal_domestic_treatment
Packaging ,2033,686896.1154892449,la_collected_household,treated_overseas
Packaging ,2033,62445.10140811317,la_collected_household,mismanaged
Packaging ,2033,499560.8112649054,la_collected_household,formal_domestic_treatment
Packaging ,2033,274758.446195698,la_collected_other,treated_overseas
Packaging ,2033,24978.04056324527,la_collected_other,mismanaged
Packaging ,2033,199824.32450596217,la_collected_other,formal_domestic_treatment
Packaging ,2033,274758.446195698,wmc_collected,treated_overseas
Packaging ,2033,24978.04056324527,wmc_collected,mismanaged
