year,source,target,material,value,data_source_id,product
2014,Consumer,Consumer - PTT,HDPE,8473.435114503816,0047_0038,Packaging
2014,Consumer,Consumer - PTT,LDPE,941.4927905004241,0047_0038,Packaging
2014,Consumer,Consumer - PTT,Other,1882.9855810008482,0047_0038,Packaging
2014,Consumer,Consumer - PTT,PE,3765.9711620016965,0047_0038,Packaging
2014,Consumer,Consumer - PTT,PET,145931.38252756576,0047_0038,Packaging
2014,Consumer,Consumer - PTT,PP,80026.88719253606,0047_0038,Packaging
2014,Consumer,Consumer - PTT,PS,30127.769296013572,0047_0038,Packaging
2014,Consumer,Consumer - PTT,PVC,12239.406276505513,0047_0038,Packaging
2014,Non-consumer,Non-consumer - Bottle,HDPE,204303.93553859205,0047_0038,Packaging
2014,Non-consumer,Non-consumer - Bottle,LDPE,0,0047_0038,Packaging
2014,Non-consumer,Non-consumer - Bottle,Other,0,0047_0038,Packaging
2014,Non-consumer,Non-consumer - Bottle,PE,0,0047_0038,Packaging
2014,Non-consumer,Non-consumer - Bottle,PET,89441.81509754028,0047_0038,Packaging
2014,Non-consumer,Non-consumer - Bottle,PP,0,0047_0038,Packaging
2014,Non-consumer,Non-consumer - Bottle,PS,0,0047_0038,Packaging
2014,Non-consumer,Non-consumer - Bottle,PVC,0,0047_0038,Packaging
2014,Non-consumer,Non-consumer - Film,HDPE,8473.435114503816,0047_0038,Packaging
2014,Non-consumer,Non-consumer - Film,LDPE,230665.7336726039,0047_0038,Packaging
2014,Non-consumer,Non-consumer - Film,Other,1882.9855810008482,0047_0038,Packaging
2014,Non-consumer,Non-consumer - Film,PE,77202.40882103477,0047_0038,Packaging
2014,Non-consumer,Non-consumer - Film,PET,2824.4783715012722,0047_0038,Packaging
2014,Non-consumer,Non-consumer - Film,PP,21654.334181509756,0047_0038,Packaging
2014,Non-consumer,Non-consumer - Film,PS,0,0047_0038,Packaging
2014,Non-consumer,Non-consumer - Film,PVC,0,0047_0038,Packaging
2014,Non-consumer,Non-consumer - Other,HDPE,6590.449533502969,0047_0038,Packaging
2014,Non-consumer,Non-consumer - Other,LDPE,0,0047_0038,Packaging
2014,Non-consumer,Non-consumer - Other,Other,0,0047_0038,Packaging
2014,Non-consumer,Non-consumer - Other,PE,0,0047_0038,Packaging
2014,Non-consumer,Non-consumer - Other,PET,0,0047_0038,Packaging
2014,Non-consumer,Non-consumer - Other,PP,2824.4783715012722,0047_0038,Packaging
2014,Non-consumer,Non-consumer - Other,PS,941.4927905004241,0047_0038,Packaging
2014,Non-consumer,Non-consumer - Other,PVC,941.4927905004241,0047_0038,Packaging
2014,Non-consumer,Non-consumer - PTT,HDPE,16005.37743850721,0047_0038,Packaging
2014,Non-consumer,Non-consumer - PTT,LDPE,0,0047_0038,Packaging
2014,Non-consumer,Non-consumer - PTT,Other,0,0047_0038,Packaging
2014,Non-consumer,Non-consumer - PTT,PE,7531.942324003393,0047_0038,Packaging
2014,Non-consumer,Non-consumer - PTT,PET,13180.899067005937,0047_0038,Packaging
2014,Non-consumer,Non-consumer - PTT,PP,72494.94486853265,0047_0038,Packaging
2014,Non-consumer,Non-consumer - PTT,PS,23537.3197625106,0047_0038,Packaging
2014,Non-consumer,Non-consumer - PTT,PVC,0,0047_0038,Packaging
2015,Consumer,Consumer - Bottle,HDPE,256861.74724342665,0047_0038,Packaging
2015,Consumer,Consumer - Bottle,LDPE,0,0047_0038,Packaging
2015,Consumer,Consumer - Bottle,Other,0,0047_0038,Packaging
2015,Consumer,Consumer - Bottle,PE,958.4393553859203,0047_0038,Packaging
2015,Consumer,Consumer - Bottle,PET,332578.45631891437,0047_0038,Packaging
2015,Consumer,Consumer - Bottle,PP,16293.469041560646,0047_0038,Packaging
2015,Consumer,Consumer - Bottle,PS,0,0047_0038,Packaging
2015,Consumer,Consumer - Bottle,PVC,0,0047_0038,Packaging
2015,Consumer,Consumer - Film,HDPE,85301.1026293469,0047_0038,Packaging
2015,Consumer,Consumer - Film,LDPE,114054.28329092452,0047_0038,Packaging
2015,Consumer,Consumer - Film,Other,16293.469041560646,0047_0038,Packaging
2015,Consumer,Consumer - Film,PE,20127.226463104325,0047_0038,Packaging
2015,Consumer,Consumer - Film,PET,26836.30195080577,0047_0038,Packaging
2015,Consumer,Consumer - Film,PP,105428.32909245123,0047_0038,Packaging
2015,Consumer,Consumer - Film,PS,1916.8787107718406,0047_0038,Packaging
2015,Consumer,Consumer - Film,PVC,8625.954198473282,0047_0038,Packaging
2015,Consumer,Consumer - Other,HDPE,52714.16454622561,0047_0038,Packaging
2015,Consumer,Consumer - Other,LDPE,22044.105173876167,0047_0038,Packaging
2015,Consumer,Consumer - Other,Other,0,0047_0038,Packaging
2015,Consumer,Consumer - Other,PE,958.4393553859203,0047_0038,Packaging
2015,Consumer,Consumer - Other,PET,38337.574215436805,0047_0038,Packaging
2015,Consumer,Consumer - Other,PP,72841.39100932993,0047_0038,Packaging
2015,Consumer,Consumer - Other,PS,2875.318066157761,0047_0038,Packaging
2015,Consumer,Consumer - Other,PVC,1916.8787107718406,0047_0038,Packaging
2015,Consumer,Consumer - PTT,HDPE,8625.954198473282,0047_0038,Packaging
2015,Consumer,Consumer - PTT,LDPE,958.4393553859203,0047_0038,Packaging
2015,Consumer,Consumer - PTT,Other,1916.8787107718406,0047_0038,Packaging
2015,Consumer,Consumer - PTT,PE,3833.757421543681,0047_0038,Packaging
2015,Consumer,Consumer - PTT,PET,148558.10008481765,0047_0038,Packaging
2015,Consumer,Consumer - PTT,PP,81467.34520780323,0047_0038,Packaging
2015,Consumer,Consumer - PTT,PS,30670.05937234945,0047_0038,Packaging
2015,Consumer,Consumer - PTT,PVC,12459.711620016964,0047_0038,Packaging
2015,Non-consumer,Non-consumer - Bottle,HDPE,207981.3401187447,0047_0038,Packaging
2015,Non-consumer,Non-consumer - Bottle,LDPE,0,0047_0038,Packaging
2015,Non-consumer,Non-consumer - Bottle,Other,0,0047_0038,Packaging
2015,Non-consumer,Non-consumer - Bottle,PE,0,0047_0038,Packaging
2015,Non-consumer,Non-consumer - Bottle,PET,91051.73876166242,0047_0038,Packaging
2015,Non-consumer,Non-consumer - Bottle,PP,0,0047_0038,Packaging
2015,Non-consumer,Non-consumer - Bottle,PS,0,0047_0038,Packaging
2015,Non-consumer,Non-consumer - Bottle,PVC,0,0047_0038,Packaging
2015,Non-consumer,Non-consumer - Film,HDPE,8625.954198473282,0047_0038,Packaging
2015,Non-consumer,Non-consumer - Film,LDPE,234817.64206955046,0047_0038,Packaging
2015,Non-consumer,Non-consumer - Film,Other,1916.8787107718406,0047_0038,Packaging
2015,Non-consumer,Non-consumer - Film,PE,78592.02714164546,0047_0038,Packaging
2015,Non-consumer,Non-consumer - Film,PET,2875.318066157761,0047_0038,Packaging
2015,Non-consumer,Non-consumer - Film,PP,22044.105173876167,0047_0038,Packaging
2015,Non-consumer,Non-consumer - Film,PS,0,0047_0038,Packaging
2015,Non-consumer,Non-consumer - Film,PVC,0,0047_0038,Packaging
2015,Non-consumer,Non-consumer - Other,HDPE,6709.075487701442,0047_0038,Packaging
2015,Non-consumer,Non-consumer - Other,LDPE,0,0047_0038,Packaging
2015,Non-consumer,Non-consumer - Other,Other,0,0047_0038,Packaging
2015,Non-consumer,Non-consumer - Other,PE,0,0047_0038,Packaging
2015,Non-consumer,Non-consumer - Other,PET,0,0047_0038,Packaging
2015,Non-consumer,Non-consumer - Other,PP,2875.318066157761,0047_0038,Packaging
2015,Non-consumer,Non-consumer - Other,PS,958.4393553859203,0047_0038,Packaging
2015,Non-consumer,Non-consumer - Other,PVC,958.4393553859203,0047_0038,Packaging
2015,Non-consumer,Non-consumer - PTT,HDPE,16293.469041560646,0047_0038,Packaging
2015,Non-consumer,Non-consumer - PTT,LDPE,0,0047_0038,Packaging
