variable,year,forecast_type,level,total,method,exogenous_factor,material1,application,material,domestic_production,net_imports,,
Placed on market,2019,,,1080.41958,,,Plastic,Other,pvc,540.2097902,540.2097902,,
Placed on market,2019,,,41055.94406,,,Plastic,PTT,hdpe,20527.97203,20527.97203,,
Placed on market,2019,,,1080.41958,,,Plastic,PTT,ldpe,540.2097902,540.2097902,,
Placed on market,2019,,,4321.678322,,,Plastic,PTT,other,2160.839161,2160.839161,,
Placed on market,2019,,,4321.678322,,,Plastic,PTT,pe,2160.839161,2160.839161,,
Placed on market,2019,,,189073.4266,,,Plastic,PTT,pet,94536.71329,94536.71329,,
Placed on market,2019,,,175027.972,,,Plastic,PTT,pp,87513.98601,87513.98601,,
Placed on market,2019,,,55101.3986,,,Plastic,PTT,ps,27550.6993,27550.6993,,
Placed on market,2019,,,4321.678322,,,Plastic,PTT,pvc,2160.839161,2160.839161,,
Placed on market,2020,,,535488.7069,,,Plastic,Bottle,hdpe,267744.3535,267744.3535,,
Placed on market,2020,,,552.6199246,,,Plastic,Bottle,ldpe,276.3099623,276.3099623,,
Placed on market,2020,,,552.6199246,,,Plastic,Bottle,other,276.3099623,276.3099623,,
Placed on market,2020,,,10499.77857,,,Plastic,Bottle,pe,5249.889283,5249.889283,,
Placed on market,2020,,,462542.8769,,,Plastic,Bottle,pet,231271.4384,231271.4384,,
Placed on market,2020,,,18236.45751,,,Plastic,Bottle,pp,9118.228755,9118.228755,,
Placed on market,2020,,,0,,,Plastic,Bottle,ps,0,0,,
Placed on market,2020,,,552.6199246,,,Plastic,Bottle,pvc,276.3099623,276.3099623,,
Placed on market,2020,,,22104.79698,,,Plastic,Film,hdpe,11052.39849,11052.39849,,
Placed on market,2020,,,351466.272,,,Plastic,Film,ldpe,175733.136,175733.136,,
Placed on market,2020,,,40341.25449,,,Plastic,Film,other,20170.62725,20170.62725,,
Placed on market,2020,,,124892.103,,,Plastic,Film,pe,62446.05148,62446.05148,,
Placed on market,2020,,,44762.21389,,,Plastic,Film,pet,22381.10694,22381.10694,,
Placed on market,2020,,,144786.4202,,,Plastic,Film,pp,72393.21012,72393.21012,,
Placed on market,2020,,,5526.199246,,,Plastic,Film,ps,2763.099623,2763.099623,,
Placed on market,2020,,,2763.099623,,,Plastic,Film,pvc,1381.549811,1381.549811,,
Placed on market,2020,,,55261.99246,,,Plastic,Other,hdpe,27630.99623,27630.99623,,
Placed on market,2020,,,17131.21766,,,Plastic,Other,ldpe,8565.608831,8565.608831,,
Placed on market,2020,,,4420.959396,,,Plastic,Other,other,2210.479698,2210.479698,,
Placed on market,2020,,,5526.199246,,,Plastic,Other,pe,2763.099623,2763.099623,,
Placed on market,2020,,,52498.89283,,,Plastic,Other,pet,26249.44642,26249.44642,,
Placed on market,2020,,,100576.8263,,,Plastic,Other,pp,50288.41314,50288.41314,,
Placed on market,2020,,,4973.579321,,,Plastic,Other,ps,2486.789661,2486.789661,,
Placed on market,2020,,,2210.479698,,,Plastic,Other,pvc,1105.239849,1105.239849,,
Placed on market,2020,,,35920.2951,,,Plastic,PTT,hdpe,17960.14755,17960.14755,,
Placed on market,2020,,,12157.63834,,,Plastic,PTT,ldpe,6078.81917,6078.81917,,
Placed on market,2020,,,9947.158642,,,Plastic,PTT,other,4973.579321,4973.579321,,
Placed on market,2020,,,4973.579321,,,Plastic,PTT,pe,2486.789661,2486.789661,,
Placed on market,2020,,,188443.3943,,,Plastic,PTT,pet,94221.69714,94221.69714,,
Placed on market,2020,,,179601.4755,,,Plastic,PTT,pp,89800.73774,89800.73774,,
Placed on market,2020,,,46972.69359,,,Plastic,PTT,ps,23486.34679,23486.34679,,
Placed on market,2020,,,4973.579321,,,Plastic,PTT,pvc,2486.789661,2486.789661,,
Placed on market,2021,,,517828.986,,,Plastic,Bottle,hdpe,258914.493,258914.493,,
Placed on market,2021,,,1133.105002,,,Plastic,Bottle,ldpe,566.5525011,566.5525011,,
Placed on market,2021,,,0,,,Plastic,Bottle,other,0,0,,
Placed on market,2021,,,19262.78504,,,Plastic,Bottle,pe,9631.392519,9631.392519,,
Placed on market,2021,,,441910.9509,,,Plastic,Bottle,pet,220955.4754,220955.4754,,
Placed on market,2021,,,18129.68004,,,Plastic,Bottle,pp,9064.840018,9064.840018,,
Placed on market,2021,,,0,,,Plastic,Bottle,ps,0,0,,
Placed on market,2021,,,1133.105002,,,Plastic,Bottle,pvc,566.5525011,566.5525011,,
Placed on market,2021,,,18129.68004,,,Plastic,Film,hdpe,9064.840018,9064.840018,,
Placed on market,2021,,,345597.0257,,,Plastic,Film,ldpe,172798.5128,172798.5128,,
Placed on market,2021,,,23795.20505,,,Plastic,Film,other,11897.60252,11897.60252,,
Placed on market,2021,,,133706.3903,,,Plastic,Film,pe,66853.19513,66853.19513,,
Placed on market,2021,,,41924.88508,,,Plastic,Film,pet,20962.44254,20962.44254,,
Placed on market,2021,,,183563.0104,,,Plastic,Film,pp,91781.50518,91781.50518,,
Placed on market,2021,,,5665.525011,,,Plastic,Film,ps,2832.762506,2832.762506,,
Placed on market,2021,,,2266.210005,,,Plastic,Film,pvc,1133.105002,1133.105002,,
Placed on market,2021,,,56655.25011,,,Plastic,Other,hdpe,28327.62506,28327.62506,,
Placed on market,2021,,,11331.05002,,,Plastic,Other,ldpe,5665.525011,5665.525011,,
Placed on market,2021,,,6798.630014,,,Plastic,Other,other,3399.315007,3399.315007,,
Placed on market,2021,,,7931.735016,,,Plastic,Other,pe,3965.867508,3965.867508,,
Placed on market,2021,,,57788.35511,,,Plastic,Other,pet,28894.17756,28894.17756,,
Placed on market,2021,,,115576.7102,,,Plastic,Other,pp,57788.35511,57788.35511,,
